,Country/Region,Confirmed,Deaths,Recovered,Active
173,US,3773260,140534,1131121,2501605
23,Brazil,2098389,79488,1459072,570479
79,India,1118206,27497,700087,390622
138,Russia,770311,12323,549387,245382
154,South Africa,364328,5033,191059,168236
132,Peru,353590,13187,241955,108616
111,Mexico,344224,39184,271239,50099
35,Chile,330930,8503,301794,59099
177,United Kingdom,294792,45300,529,249492
81,Iran,273788,14188,237788,34887
128,Pakistan,265083,5599,205929,108642
157,Spain,260255,28752,150376,101617
145,Saudi Arabia,250920,2486,197735,63026
85,Italy,244434,35045,196949,108257
172,Turkey,219641,5491,202010,80808
13,Bangladesh,204525,2618,111642,90790
65,Germany,202735,9092,187400,72864
61,France,201448,30049,72408,99600
37,Colombia,197278,6736,91793,98749
6,Argentina,126755,2260,54105,70390
136,Qatar,106648,157,103377,35634
82,Iraq,92530,3781,60528,29632
52,Egypt,87775,4302,28380,55093
80,Indonesia,86521,4143,45401,37598
161,Sweden,77281,5619,0,71662
51,Ecuador,74013,5313,31901,36799
89,Kazakhstan,71838,375,43029,34497
36,China,68135,4512,64435,50633
133,Philippines,67456,1831,22465,43160
127,Oman,66661,318,44004,22445
15,Belarus,66095,499,58204,25477
16,Belgium,63706,9800,17289,36617
175,Ukraine,60077,1504,31836,26737
20,Bolivia,59582,2151,18553,38878
92,Kuwait,59204,408,49687,15831
32,Canada,57466,5655,0,51811
176,United Arab Emirates,56922,339,49269,17173
129,Panama,53468,1096,28482,23890
50,Dominican Republic,52855,981,25094,26780
120,Netherlands,51725,6138,100,45589
