,ds,trend
0,2020-01-22,-1110.3102363205494
1,2020-01-23,-1078.2173981317878
2,2020-01-24,-1046.124559943026
3,2020-01-25,-1014.0317217542641
4,2020-01-26,-981.9388835655025
5,2020-01-27,-949.8460453767407
6,2020-01-28,-917.7532071879789
7,2020-01-29,-885.660470503962
8,2020-01-30,-853.5677338199451
9,2020-01-31,-821.4749971359284
10,2020-02-01,-789.3822604519117
11,2020-02-02,-757.2895237678947
12,2020-02-03,-725.1967098523744
13,2020-02-04,-693.1038959368541
14,2020-02-05,-661.0110820213336
15,2020-02-06,-628.9182681058134
16,2020-02-07,-596.8254541902928
17,2020-02-08,-564.7326402747725
18,2020-02-09,-532.6397621624307
19,2020-02-10,-500.54688405008903
20,2020-02-11,-468.4540059377474
21,2020-02-12,-436.36112782540573
22,2020-02-13,-404.268249713064
23,2020-02-14,-372.1753716007223
24,2020-02-15,-340.0824765877583
25,2020-02-16,-307.98958157479433
26,2020-02-17,-275.8966865618302
27,2020-02-18,-243.8037915488662
28,2020-02-19,-211.7108965359022
29,2020-02-20,-179.61800152293807
30,2020-02-21,-147.52510040019504
31,2020-02-22,-115.43219927745176
32,2020-02-23,-83.33929815470871
33,2020-02-24,-51.24639703196567
34,2020-02-25,-19.153495909222748
35,2020-02-26,12.93941625521984
36,2020-02-27,45.032328419662306
37,2020-02-28,77.12524058410501
38,2020-02-29,109.21815274854748
39,2020-03-01,141.31106491298993
40,2020-03-02,173.40397707743242
41,2020-03-03,205.49879894597836
42,2020-03-04,237.5936208145243
43,2020-03-05,269.68844268307
44,2020-03-06,301.78326455161596
45,2020-03-07,333.8780864201619
46,2020-03-08,365.9729082887076
47,2020-03-09,398.07160528150797
48,2020-03-10,430.1703022743083
49,2020-03-11,462.2689992671087
50,2020-03-12,494.3676962599091
51,2020-03-13,526.4663932527097
52,2020-03-14,558.5723124629667
53,2020-03-15,590.6782316732234
54,2020-03-16,622.7841508834802
55,2020-03-17,654.8900700937369
56,2020-03-18,686.9959893039936
57,2020-03-19,719.1019085142508
58,2020-03-20,751.215498848173
59,2020-03-21,783.3290891820951
60,2020-03-22,815.4426795160173
61,2020-03-23,847.5562698499394
62,2020-03-24,879.6698601838618
63,2020-03-25,911.7834505177852
64,2020-03-26,1085.7376822603019
65,2020-03-27,1259.6919140028183
66,2020-03-28,1433.646145745335
67,2020-03-29,1607.6003774878516
68,2020-03-30,1781.554609230368
69,2020-03-31,1955.5088409728846
70,2020-04-01,2463.5396829980923
71,2020-04-02,2971.5705250233073
72,2020-04-03,3479.601367048515
