,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-22,-677.4217443217639,-15530.994043912477,11103.494052513099,-677.4217443217639,-677.4217443217639,-986.0768442774576,-986.0768442774576,-986.0768442774576,-986.0768442774576,-986.0768442774576,-986.0768442774576,0.0,0.0,0.0,-1663.4985885992214
1,2020-01-23,-660.439177987455,-13923.015165913492,12945.330214759442,-660.439177987455,-660.439177987455,-93.46433074512235,-93.46433074512235,-93.46433074512235,-93.46433074512235,-93.46433074512235,-93.46433074512235,0.0,0.0,0.0,-753.9035087325773
2,2020-01-24,-643.4566116531461,-14505.233870254066,13131.41702298567,-643.4566116531461,-643.4566116531461,397.7322624246254,397.7322624246254,397.7322624246254,397.7322624246254,397.7322624246254,397.7322624246254,0.0,0.0,0.0,-245.72434922852068
3,2020-01-25,-626.4740453188372,-14290.151060042495,14149.76905959726,-626.4740453188372,-626.4740453188372,1216.527289521998,1216.527289521998,1216.527289521998,1216.527289521998,1216.527289521998,1216.527289521998,0.0,0.0,0.0,590.0532442031608
4,2020-01-26,-609.4914789845282,-12749.495465601585,15981.284007531867,-609.4914789845282,-609.4914789845282,1325.3559511876244,1325.3559511876244,1325.3559511876244,1325.3559511876244,1325.3559511876244,1325.3559511876244,0.0,0.0,0.0,715.8644722030963
5,2020-01-27,-592.5089126502193,-15458.119029844971,12144.886768902972,-592.5089126502193,-592.5089126502193,-910.7949801555906,-910.7949801555906,-910.7949801555906,-910.7949801555906,-910.7949801555906,-910.7949801555906,0.0,0.0,0.0,-1503.30389280581
6,2020-01-28,-575.5263463159104,-15305.280544759695,11968.349047477534,-575.5263463159104,-575.5263463159104,-949.2793479599628,-949.2793479599628,-949.2793479599628,-949.2793479599628,-949.2793479599628,-949.2793479599628,0.0,0.0,0.0,-1524.805694275873
7,2020-01-29,-558.5437375486761,-13744.03996556492,11171.927491348177,-558.5437375486761,-558.5437375486761,-986.0768442750328,-986.0768442750328,-986.0768442750328,-986.0768442750328,-986.0768442750328,-986.0768442750328,0.0,0.0,0.0,-1544.620581823709
8,2020-01-30,-541.5611287814418,-14490.039021090617,12804.064151819553,-541.5611287814418,-541.5611287814418,-93.46433074309626,-93.46433074309626,-93.46433074309626,-93.46433074309626,-93.46433074309626,-93.46433074309626,0.0,0.0,0.0,-635.0254595245381
9,2020-01-31,-524.5785200142074,-13654.384573081494,13448.92101806662,-524.5785200142074,-524.5785200142074,397.73226242447316,397.73226242447316,397.73226242447316,397.73226242447316,397.73226242447316,397.73226242447316,0.0,0.0,0.0,-126.8462575897342
10,2020-02-01,-507.59591124697306,-12068.982079861069,14353.353746862704,-507.59591124697306,-507.59591124697306,1216.5272895241812,1216.5272895241812,1216.5272895241812,1216.5272895241812,1216.5272895241812,1216.5272895241812,0.0,0.0,0.0,708.9313782772082
11,2020-02-02,-490.6133024797388,-13352.808966078328,13991.781103249581,-490.6133024797388,-490.6133024797388,1325.355951187041,1325.355951187041,1325.355951187041,1325.355951187041,1325.355951187041,1325.355951187041,0.0,0.0,0.0,834.7426487073021
12,2020-02-03,-473.6306588570084,-15147.213044913004,11977.535948530784,-473.6306588570084,-473.6306588570084,-910.7949801506974,-910.7949801506974,-910.7949801506974,-910.7949801506974,-910.7949801506974,-910.7949801506974,0.0,0.0,0.0,-1384.4256390077057
13,2020-02-04,-456.64801523427815,-15463.434467300944,12774.465251268726,-456.64801523427815,-456.64801523427815,-949.2793479599874,-949.2793479599874,-949.2793479599874,-949.2793479599874,-949.2793479599874,-949.2793479599874,0.0,0.0,0.0,-1405.9273631942656
14,2020-02-05,-439.66537161154776,-14680.687357121651,12620.676491481274,-439.66537161154776,-439.66537161154776,-986.0768442757586,-986.0768442757586,-986.0768442757586,-986.0768442757586,-986.0768442757586,-986.0768442757586,0.0,0.0,0.0,-1425.7422158873064
15,2020-02-06,-422.6827279888175,-13999.773562388435,13679.213461149107,-422.6827279888175,-422.6827279888175,-93.4643307471349,-93.4643307471349,-93.4643307471349,-93.4643307471349,-93.4643307471349,-93.4643307471349,0.0,0.0,0.0,-516.1470587359523
16,2020-02-07,-405.7000843660871,-13063.997905860155,13250.485115615122,-405.7000843660871,-405.7000843660871,397.7322624232583,397.7322624232583,397.7322624232583,397.7322624232583,397.7322624232583,397.7322624232583,0.0,0.0,0.0,-7.9678219428287775
17,2020-02-08,-388.71744074335675,-12996.01679986867,15480.179551326251,-388.71744074335675,-388.71744074335675,1216.527289521886,1216.527289521886,1216.527289521886,1216.527289521886,1216.527289521886,1216.527289521886,0.0,0.0,0.0,827.8098487785292
18,2020-02-09,-371.7348365683568,-12670.932502576228,14192.836568582592,-371.7348365683568,-371.7348365683568,1325.3559511864578,1325.3559511864578,1325.3559511864578,1325.3559511864578,1325.3559511864578,1325.3559511864578,0.0,0.0,0.0,953.621114618101
19,2020-02-10,-354.75223239335696,-15879.349160676564,13043.669796693428,-354.75223239335696,-354.75223239335696,-910.7949801513985,-910.7949801513985,-910.7949801513985,-910.7949801513985,-910.7949801513985,-910.7949801513985,0.0,0.0,0.0,-1265.5472125447554
