,ds,trend
0,2020-01-22,-9326.783620042988
1,2020-01-23,-6647.349928953875
2,2020-01-24,-3967.916237864763
3,2020-01-25,-1288.4825467756507
4,2020-01-26,1390.951144313462
5,2020-01-27,4070.3848354025736
6,2020-01-28,6749.818526491687
7,2020-01-29,9429.251281471232
8,2020-01-30,12108.684036450777
9,2020-01-31,14788.116791430322
10,2020-02-01,17467.549546409868
11,2020-02-02,20146.982301389413
12,2020-02-03,22826.415226986548
13,2020-02-04,25505.84815258369
14,2020-02-05,28185.281078180826
15,2020-02-06,30864.71400377796
16,2020-02-07,33544.1469293751
17,2020-02-08,36223.57985497223
18,2020-02-09,38903.0153868108
19,2020-02-10,41582.45091864936
20,2020-02-11,44261.886450487924
21,2020-02-12,46941.32198232649
22,2020-02-13,49620.75751416506
23,2020-02-14,52300.19304600362
24,2020-02-15,54979.627953093135
25,2020-02-16,57659.06286018265
26,2020-02-17,60338.49776727218
27,2020-02-18,63017.93267436169
28,2020-02-19,65697.36758145121
29,2020-02-20,68376.80248854074
30,2020-02-21,71056.23769751543
31,2020-02-22,73735.67290649016
32,2020-02-23,76415.10811546486
33,2020-02-24,79094.54332443957
34,2020-02-25,81773.97853341425
35,2020-02-26,84453.4112909871
36,2020-02-27,87132.84404855994
37,2020-02-28,89812.27680613278
38,2020-02-29,92491.70956370562
39,2020-03-01,95171.14232127846
40,2020-03-02,97850.5750788513
41,2020-03-03,100550.03229392333
42,2020-03-04,103249.48950899535
43,2020-03-05,105948.94672406737
44,2020-03-06,108648.40393913939
45,2020-03-07,111347.86115421141
46,2020-03-08,114047.31836928341
47,2020-03-09,118937.46468155952
48,2020-03-10,123827.61099383562
49,2020-03-11,128717.75730611174
50,2020-03-12,133607.9036183878
51,2020-03-13,138498.04993066392
52,2020-03-14,154204.7612638633
53,2020-03-15,169911.4725970626
54,2020-03-16,185618.18393026188
55,2020-03-17,201324.89526346116
56,2020-03-18,217031.60659666033
57,2020-03-19,232738.3179298597
58,2020-03-20,272310.746083942
59,2020-03-21,311883.1742380239
60,2020-03-22,351455.60239210614
61,2020-03-23,391028.03054618835
62,2020-03-24,430600.4587002706
63,2020-03-25,470172.8868543529
64,2020-03-26,536391.5060721254
65,2020-03-27,602610.1252898986
66,2020-03-28,668828.7445076711
67,2020-03-29,735047.3637254435
68,2020-03-30,801265.982943216
69,2020-03-31,867484.6021609885
70,2020-04-01,947593.1415097315
71,2020-04-02,1027701.6808584753
72,2020-04-03,1107810.2202072192
73,2020-04-04,1187918.7595559622
74,2020-04-05,1268027.2989047053
75,2020-04-06,1348301.6979660662
76,2020-04-07,1428576.097027428
